Sr.No.,Entity_Types,Input_Text,Output,Person
11,"ROUTES, MEANS_OF_COMMUNICATION, MEANS_OF_TRANSPORTATION",Agent Silva was conducting a roving patrol around the intersection of Interstate 35 and Route 133 when he heard the report on his service radio about the white pickup truck possibly loaded with illegal aliens.,"(""entity""{tuple_delimiter}SILVA{tuple_delimiter}PERSON{tuple_delimiter}A border patrol agent who was on patrol)
{record_delimiter}
(""entity""{tuple_delimiter}AGENT{tuple_delimiter}PERSON{tuple_delimiter}An Agent patrolling the Borders of the United States)
{record_delimiter} 
(""entity""{tuple_delimiter}INTERSTATE 35{tuple_delimiter}ROUTE{tuple_delimiter}An interstate route in the U.S.
{record_delimiter}
(""entity""{tuple_delimiter}ROUTE 133{tuple_delimiter}ROUTE{tuple_delimiter}An interstate route in the U.S.
{record_delimiter}
(""entity""{tuple_delimiter}SERVICE RADIO{tuple_delimiter}MEANS_OF_COMMUNICATION{tuple_delimiter}Agent Silva heard the report on his service radio about the white pickup truck possibly loaded with illegal aliens)
{record_delimiter}
(""entity""{tuple_delimiter}WHITE PICKUP TRUCK{tuple_delimiter}MEANS_OF_TRANSPORTATION{tuple_delimiter}A vehicle potentially loaded with illegal aliens)
{record_delimiter}
(""relationship""{tuple_delimiter}SILVA{tuple_delimiter}AGENT{tuple_delimiter}Silva is the Border Patrol Agent who was conducting a roving patrol{tuple_delimiter}9)
{record_delimiter}
(""relationship""{tuple_delimiter}SILVA{tuple_delimiter}INTERSTATE 35{tuple_delimiter}Agent Silva was conducting a roving patrol around the intersection of Interstate 35 and Route 133{tuple_delimiter}9)
{record_delimiter}
(""relationship""{tuple_delimiter}SILVA{tuple_delimiter}ROUTE 133{tuple_delimiter}Agent Silva was conducting a roving patrol around the intersection of Interstate 35 and Route 133{tuple_delimiter}9)
{record_delimiter}
(""relationship""{tuple_delimiter}SILVA{tuple_delimiter}WHITE PICKUP TRUCK{tuple_delimiter}Agent Silva was conducting a roving patrol around the intersection of Interstate 35 and Route 133 when he heard the report on his service radio about the white pickup truck possibly loaded with illegal aliens{tuple_delimiter}9)
{record_delimiter}
{completion_delimiter}","SILVA,AGENT"
12,"ROUTES, MEANS_OF_TRANSPORTATION","The two vehicles, a ""white Malibu"" sedan and a ""black Dodge truck,"" had exited off of U.S. 59 to the right and turned southbound onto Farm-to-Market Road 2050.","(""entity""{tuple_delimiter}WHITE MALIBU SEDAN{tuple_delimiter}MEANS_OF_TRANSPORTATION{tuple_delimiter}A vehicle that exited off of U.S. 59 to the right and turned southbound onto Farm-to-Market Road 2050)
{record_delimiter}
(""entity""{tuple_delimiter}BLACK DODGE TRUCK{tuple_delimiter}MEANS_OF_TRANSPORTATION{tuple_delimiter}A vehicle that exited off of U.S. 59 to the right and turned southbound onto Farm-to-Market Road 2050)
{record_delimiter}
(""entity""{tuple_delimiter}U.S. 59{tuple_delimiter}ROUTES{tuple_delimiter}The route which was taken by White Malibu Sedan and Black Dodge Truck)
{record_delimiter}
(""relationship""{tuple_delimiter}WHITE MALIBU SEDAN{tuple_delimiter}U.S. 59{tuple_delimiter}A ""white Malibu"" sedan had exited off of U.S. 59 to the right and turned southbound onto Farm-to-Market Road 2050{tuple_delimiter}9)
{record_delimiter}
(""relationship""{tuple_delimiter}BLACK DODGE TRUCK{tuple_delimiter}U.S. 59{tuple_delimiter}A ""black Dodge"" truck had exited off of U.S. 59 to the right and turned southbound onto Farm-to-Market Road 2050{tuple_delimiter}9)
{record_delimiter}
{completion_delimiter}",
13,MEANS_OF_COMMUNICATION,One contact in the cellphone was Tony Primo.,"(""entity""{tuple_delimiter}CELLPHONE{tuple_delimiter}MEANS_OF_COMMUNICATION{tuple_delimiter}One contact in the cellphone was Tony Primo)
{record_delimiter}",
14,"DATE, PERSON, LOCATION","On November 15, 2005, Andrea Gonzalez-Perales drove three female passengers to the primary inspection lane of a border patrol checkpoint north of Laredo , Texas.","(""entity""{tuple_delimiter}NOVEMBER 15, 2005{tuple_delimiter}DATE{tuple_delimiter}The date on which Andrea Gonzalez-Perales drove three female  passengers to the primary inspection lane of a border patrol  checkpoint north of Laredo , Texas)
{record_delimiter}
(""entity""{tuple_delimiter}ANDREA GONZALEZ-PERALES{tuple_delimiter}PERSON{tuple_delimiter} Person who drove three female  passengers to the primary inspection lane of a border patrol  checkpoint north of Laredo , Texas)
{record_delimiter}
(""entity""{tuple_delimiter}THREE FEMALE PASSENGERS{tuple_delimiter}PERSON{tuple_delimiter} People who were in car with Andrea Gonzalez-Perales)
{record_delimiter}
(""entity""{tuple_delimiter}BORDER PATROL CHECKPOINT{tuple_delimiter}LOCATION{tuple_delimiter} Andrea Gonzalez-Perales drove three female  passengers to the primary inspection lane of a border patrol  checkpoint north of Laredo , Texas)
{record_delimiter}
(""relationship""{tuple_delimiter}ANDREA GONZALEZ-PERALES{tuple_delimiter}NOVEMBER 15, 2005{tuple_delimiter}On  November 15, 2005, Andrea Gonzalez-Perales drove three female  passengers to the primary inspection lane of a border patrol  checkpoint north of Laredo , Texas {tuple_delimiter}9)
{record_delimiter}
(""relationship""{tuple_delimiter}ANDREA GONZALEZ-PERALES{tuple_delimiter}THREE FEMALE PASSENGERS{tuple_delimiter}Andrea Gonzalez-Perales drove three female  passengers to the primary inspection lane of a border patrol  checkpoint north of Laredo , Texas {tuple_delimiter}9)
{record_delimiter}
(""relationship""{tuple_delimiter}ANDREA GONZALEZ-PERALES{tuple_delimiter}BORDER PATROL CHECKPOINT{tuple_delimiter}Andrea Gonzalez-Perales drove three female  passengers to the primary inspection lane of a border patrol  checkpoint north of Laredo , Texas {tuple_delimiter}9)
{record_delimiter}
{completion_delimiter}","ANDREA GONZALEZ-PERALES,THREE FEMALE PASSENGERS"
15,"DATE, PERSON, LOCATION","On or about June 12, 2006, within the Southern District of Texas, the Defendant Daniel Hernandez-Lopez, who was then and there an alien, upon his entry into the United States from Mexico at or near Hidalgo, Texas, did knowingly elude examination and inspection by immigration officers.","(""entity""{tuple_delimiter}JUNE 12, 2006{tuple_delimiter}DATE{tuple_delimiter}On this date, DANIEL HERNANDEZ-LOPEZ, who was then and there  an alien, upon his entry into the United States from Mexico at or  near Hidalgo, Texas, did knowingly elude examination and inspection  by immigration officers)
{record_delimiter}
(""entity""{tuple_delimiter}DANIEL HERNANDEZ-LOPEZ{tuple_delimiter}PERSON{tuple_delimiter} Person who is defendant of the case)
{record_delimiter}
(""entity""{tuple_delimiter}BORDER PATROL CHECKPOINT{tuple_delimiter}LOCATION{tuple_delimiter} Andrea Gonzalez-Perales drove three female  passengers to the primary inspection lane of a border patrol  checkpoint north of Laredo , Texas)
{record_delimiter}
(""entity""{tuple_delimiter}DEFENDANT{tuple_delimiter}PERSON{tuple_delimiter} Defendant of the case)
{record_delimiter}
(""relationship""{tuple_delimiter}DANIEL HERNANDEZ-LOPEZ{tuple_delimiter}DEFENDANT{tuple_delimiter}Daniel Hernandez-Lopez was the defendant of the case{tuple_delimiter}9)
{record_delimiter}
{completion_delimiter}","DANIEL HERNANDEZ-LOPEZ,DEFENDANT"
16,"PERSON, MEANS_OF_TRANSPORTATION",Two of the aliens found in Yusuf's trailer also testified. Both acknowledged that they paid several thousand dollars to be smuggled into the United States.,"(""entity""{tuple_delimiter}YUSUF{tuple_delimiter}PERSON{tuple_delimiter}A smuggler responsible for transporting migrants)
{record_delimiter}
(""entity""{tuple_delimiter}ALIENS{tuple_delimiter}PERSON{tuple_delimiter}People without proper documentation of immigration)
{record_delimiter}
(""entity""{tuple_delimiter}TRAILER{tuple_delimiter}MEANS_OF_TRANSPORTATION{tuple_delimiter}Vehicle used to transport illegal aliens)
{record_delimiter}
(""relationship""{tuple_delimiter}YUSUF{tuple_delimiter}ALIENS{tuple_delimiter}Yusuf was charged for conspiracy to transport and transporting undocumented aliens{tuple_delimiter}8)
{record_delimiter}
(""relationship""{tuple_delimiter}YUSUF{tuple_delimiter}TRAILER{tuple_delimiter}Yusuf was charged for conspiracy to transport and transporting undocumented aliens in a trailer{tuple_delimiter}8)
{record_delimiter}
{completion_delimiter}","YUSUF,ALIENS"
17,"PERSON, DATE, LOCATION","Substantial evidence was presented at trial that on November 21, 1980, Ortega-Chavez and Ramon Gonzalez Sanchez left the United States and entered Mexico at Nuevo Laredo. That same day, Sanchez applied for and received a permit to return to the United States with certain described merchandise. From Nuevo Laredo he and Ortega-Chavez proceeded to Sabinas Hidalgo, Mexico. The next day, November 22, these two met with Alejandro Gonzalez Delgado and five undocumented aliens at a restaurant in Sabinas Hidalgo. From the restaurant, all eight took a bus to Nuevo Laredo. The five undocumented aliens then took a taxi from the Nuevo Laredo bus terminal to a point close to the bridge leading into the United States. Appellant Ortega-Chavez, Sanchez, and Alejandro Gonzalez Delgado arrived at the bridge in a van. Ortega-Chavez instructed the five aliens to get into a hidden compartment in the van and to remain silent. The van was driven by Sanchez. Approximately halfway across the bridge, Ortega-Chavez got out of the van.","(""entity""{tuple_delimiter}NOVEMBER 21, 1980{tuple_delimiter}DATE{tuple_delimiter}Day on which Ortega-Chavez and Ramon Gonzalez Sanchez left the United States and entered Mexico at Nuevo Laredo)
{record_delimiter}
(""entity""{tuple_delimiter}ORTEGA-CHAVEZ{tuple_delimiter}PERSON{tuple_delimiter}Person involved in transporting undocumented aliens)
{record_delimiter}
(""entity""{tuple_delimiter}RAMON GONZALEZ SANCHEZ{tuple_delimiter}PERSON{tuple_delimiter}Person involved in transporting undocumented aliens)
{record_delimiter}
(""entity""{tuple_delimiter}NUEVO LAREDO{tuple_delimiter}LOCATION{tuple_delimiter}A location in Mexico where Chavez and Sanchez had travelled to)
{record_delimiter}
(""entity""{tuple_delimiter}SABINAS HIDALGO{tuple_delimiter}LOCATION{tuple_delimiter}A location in Mexico where Chavez and Sanchez had travelled to and met Delgado and five undocumented aliens)
{record_delimiter}
(""entity""{tuple_delimiter}NOVEMBER 22, 1980{tuple_delimiter}DATE{tuple_delimiter}Day on which Ortega-Chavez and Ramon Gonzalez Sanchez met Alejandro Gonzalez Delgado and five undocumented aliens)
{record_delimiter}
(""entity""{tuple_delimiter}ALEJANDRO GONZALEZ DELGADO{tuple_delimiter}PERSON{tuple_delimiter}Person whom Ortega-Chavvez and Ramon Gonzalez Sanchez met while meeting five other undocumented aliens)
{record_delimiter}
(""entity""{tuple_delimiter}FIVE UNDOCUMENTED ALIENS{tuple_delimiter}PERSON{tuple_delimiter}People without proper documentation of immigration)
{record_delimiter}
(""entity""{tuple_delimiter}BUS{tuple_delimiter}MEANS_OF_TRANSPORTATION{tuple_delimiter}Vehicle used to transport illegal aliens)
{record_delimiter}
(""relationship""{tuple_delimiter}ORTEGA-CHAVEZ{tuple_delimiter}NOVEMBER 21, 1980{tuple_delimiter}Day on which Ortega-Chavez and Ramon Gonzalez Sanchez left the United States and entered Mexico at Nuevo Laredo{tuple_delimiter}9)
{record_delimiter}
{completion_delimiter}","ORTEGA-CHAVEZ,RAMON GONZALEZ SANCHEZ,ALEJANDRO GONZALEZ DELGADO,FIVE UNDOCUMENTED ALIENS"
18,"ROUTES, PERSON","Texas Highway 385 is notorious for smuggling, and in the prior six months, Agent Graham had noticed an increase in alien and smuggling apprehensions on that highway. Agent Graham attributed this increase in activity on Highway 385 to the Border Patrol's enhanced enforcement on other nearby highways.","(""entity""{tuple_delimiter}TEXAS HIGHWAY 385{tuple_delimiter}ROUTES{tuple_delimiter}A route notorious for smuggling)
{record_delimiter}
(""entity""{tuple_delimiter}GRAHAM {tuple_delimiter}PERSON{tuple_delimiter}A Border Patrol Agent monitoring Texas Highway 385)
{record_delimiter}
(""entity""{tuple_delimiter}AGENT{tuple_delimiter}PERSON{tuple_delimiter}A Border Patrol Agent)
{record_delimiter}
(""relationship""{tuple_delimiter}GRAHAM{tuple_delimiter}TEXAS HIGHWAY 385{tuple_delimiter}Agent Graham was monitoring Texas Highway 385 which was notorious for smuggling}9)
{record_delimiter}
{completion_delimiter}","GRAHAM,AGENT"
19,"PERSON, LOCATION","Mejia-Orosco is a citizen of Guatemala. He earns his living trucking curios from Guatemala, through Mexico, to the United States. In April of 1988, on one of his many trips to this country, he brought along Hector Galvencio Paz-Ortega and Carlos Enrique Cruz-Morales, both citizens of Guatemala and purportedly related to Mejia-Orosco. After Mejia-Orosco and his two passengers had travelled through Mexico and arrived in Nuevo Laredo, Tamaulipas, Mexico, Paz-Ortega and Cruz-Morales disembarked.","(""entity""{tuple_delimiter}MEJIA-OROSCO{tuple_delimiter}PERSON{tuple_delimiter}A citizen of Guatemala)
{record_delimiter}
(""entity""{tuple_delimiter}HECTOR GALVENCIO PAZ-ORTEGA{tuple_delimiter}PERSON{tuple_delimiter}A person who travelled with Mejia-Orosco)
{record_delimiter}
(""entity""{tuple_delimiter}CARLOS ENRIQUE CRUZ-MORALES{tuple_delimiter}PERSON{tuple_delimiter}A person who travelled with Mejia-Orosco)
{record_delimiter}
(""entity""{tuple_delimiter}NUEVO LAREDO{tuple_delimiter}PERSON{tuple_delimiter}A place in Tamaulipas, Mexico where Paz-Ortega and Cruz-Morales disembarked after traveling with Mejia-Orosco)
{record_delimiter}
(""relationship""{tuple_delimiter}MEJIA-OROSCO{tuple_delimiter}HECTOR GALVENCIO PAZ-ORTEGA{tuple_delimiter}Mejia-Orosco brought Paz-Ortega to Nuevo Laredo, Tamaulipas, Mexico}9)
{record_delimiter}
(""relationship""{tuple_delimiter}MEJIA-OROSCO{tuple_delimiter}CARLOS ENRIQUE CRUZ-MORALES{tuple_delimiter}Mejia-Orosco brought Cruz-Morales to Nuevo Laredo, Tamaulipas, Mexico}9)
{record_delimiter}
(""relationship""{tuple_delimiter}MEJIA-OROSCO{tuple_delimiter}NUEVO LAREDO{tuple_delimiter}A place in Tamaulipas, Mexico where Paz-Ortega and Cruz-Morales disembarked after traveling with Mejia-Orosco}9)
{record_delimiter}
{completion_delimiter}","MEJIA-OROSCO,HECTOR GALVENCIO PAZ-ORTEGA,CARLOS ENRIQUE CRUZ-MORALES"
20,"PERSON, LOCATION","Mejia-Orosco drove his van across the bridge into Laredo, Texas. Paz-Ortega and Cruz-Morales waded the Rio Grande. They did not pass through customs and had no legal right to enter this country. Mejia-Orosco and the aliens then regrouped and spent two days in Laredo.","(""entity""{tuple_delimiter}MEJIA-OROSCO{tuple_delimiter}PERSON{tuple_delimiter}A citizen of Guatemala)
{record_delimiter}
(""entity""{tuple_delimiter}PAZ-ORTEGA{tuple_delimiter}PERSON{tuple_delimiter}A person who travelled with Mejia-Orosco)
{record_delimiter}
(""entity""{tuple_delimiter}CRUZ-MORALES{tuple_delimiter}PERSON{tuple_delimiter}A person who travelled with Mejia-Orosco)
{record_delimiter}
(""entity""{tuple_delimiter}RIO GRANDE{tuple_delimiter}LOCATION{tuple_delimiter}A river that Paz-Ortega and Cruz-Morales waded after traveling with Mejia-Orosco)
{record_delimiter}
(""entity""{tuple_delimiter}LAREDO{tuple_delimiter}LOCATION{tuple_delimiter}A place in Texas where Paz-Ortega and Cruz-Morales regrouped with Mejia-Orosco)
{record_delimiter}
(""relationship""{tuple_delimiter}MEJIA-OROSCO{tuple_delimiter}PAZ-ORTEGA{tuple_delimiter}Mejia-Orosco brought Paz-Ortega to Nuevo Laredo, Tamaulipas, Mexico}9)
{record_delimiter}
(""relationship""{tuple_delimiter}MEJIA-OROSCO{tuple_delimiter}CRUZ-MORALES{tuple_delimiter}Mejia-Orosco brought Cruz-Morales to Nuevo Laredo, Tamaulipas, Mexico}9)
{record_delimiter}
(""relationship""{tuple_delimiter}MEJIA-OROSCO{tuple_delimiter}LAREDO{tuple_delimiter}A place in Texas where Paz-Ortega and Cruz-Morales regrouped with Mejia-Orosco}9)
{record_delimiter}
{completion_delimiter}","MEJIA-OROSCO,PAZ-ORTEGA,CRUZ-MORALES"
21,"PERSON, LOCATION","During this time, the group contacted relatives of the aliens living in the United States. The family members were instructed to wire Mejia-Orosco funds. He received $ 1,000 from Paz-Ortega's family in Los Angeles and $ 1,700 from relatives of Cruz-Morales living in New York City. Two days after arriving, the three drove to the Laredo International Airport. Mejia-Orosco supplied the aliens with airline tickets to San Antonio and the key to a motel room there. Later, Mejia-Orosco met the aliens at the motel and drove them to the San Antonio International Airport.","(""entity""{tuple_delimiter}MEJIA-OROSCO{tuple_delimiter}PERSON{tuple_delimiter}A citizen of Guatemala)
{record_delimiter}
(""entity""{tuple_delimiter}PAZ-ORTEGA{tuple_delimiter}PERSON{tuple_delimiter}A person who travelled with Mejia-Orosco)
{record_delimiter}
(""entity""{tuple_delimiter}CRUZ-MORALES{tuple_delimiter}PERSON{tuple_delimiter}A person who travelled with Mejia-Orosco)
{record_delimiter}
(""entity""{tuple_delimiter}LAREDO INTERNATIONAL AIRPORT{tuple_delimiter}LOCATION{tuple_delimiter}An airport that Paz-Ortega and Cruz-Morales went to with Mejia-Orosco)
{record_delimiter}
(""entity""{tuple_delimiter}SAN ANTONIO{tuple_delimiter}LOCATION{tuple_delimiter}A place in Texas where Paz-Ortega and Cruz-Morales went to motel room whose key was provided by Mejia-Orosco)
{record_delimiter}
(""entity""{tuple_delimiter}SAN ANTONIO{tuple_delimiter}LOCATION{tuple_delimiter}A place in Texas where Paz-Ortega and Cruz-Morales went to motel room whose key was provided by Mejia-Orosco)
{record_delimiter}
(""relationship""{tuple_delimiter}MEJIA-OROSCO{tuple_delimiter}PAZ-ORTEGA{tuple_delimiter}Mejia-Orosco brought Paz-Ortega to Nuevo Laredo, Tamaulipas, Mexico}9)
{record_delimiter}
(""relationship""{tuple_delimiter}MEJIA-OROSCO{tuple_delimiter}CRUZ-MORALES{tuple_delimiter}Mejia-Orosco brought Cruz-Morales to Nuevo Laredo, Tamaulipas, Mexico}9)
{record_delimiter}
(""relationship""{tuple_delimiter}MEJIA-OROSCO{tuple_delimiter}SAN ANTONIO{tuple_delimiter}A place in Texas where Paz-Ortega and Cruz-Morales met with Mejia-Orosco and later went to San Antonio International Airport}9)
{record_delimiter}
{completion_delimiter}","MEJIA-OROSCO,PAZ-ORTEGA,CRUZ-MORALES"
22,PERSON,Mejia-Orosco pled guilty to one count of illegally transporting aliens into the United States. He admits that he received $ 850 from each of the transported aliens in exchange for his illegal services.,"(""entity""{tuple_delimiter}MEJIA-OROSCO{tuple_delimiter}PERSON{tuple_delimiter}A smuggler responsible for transporting migrants)
{record_delimiter}
(""entity""{tuple_delimiter}ALIENS{tuple_delimiter}PERSON{tuple_delimiter}People without proper documentation of immigration)
{record_delimiter}
(""relationship""{tuple_delimiter}MEJIA-OROSCO{tuple_delimiter}ALIENS{tuple_delimiter}Mejia-Orosco was charged for conspiracy to transport and transporting undocumented aliens{tuple_delimiter}8)
{record_delimiter}
{completion_delimiter}","MEJIA-OROSCO,ALIENS"
23,"PERSON, LOCATION","Agent Henderson stated that Defendant and Codefendant are both from Ghana, Africa and both live in Quebec, Montreal, Canada.","(""""entity""""{tuple_delimiter}HENDERSON{tuple_delimiter}PERSON{tuple_delimiter}A Border Patrol Agent)
{record_delimiter}
(""""entity""""{tuple_delimiter}AGENT{tuple_delimiter}PERSON{tuple_delimiter}An Agent patrolling the Borders of the United States}
(""entity""{tuple_delimiter}DEFENDANT{tuple_delimiter}PERSON{tuple_delimiter} Defendant of the case)
{record_delimiter}
(""entity""{tuple_delimiter}CODEFENDANT{tuple_delimiter}PERSON{tuple_delimiter} Codefendant of the case)
{record_delimiter}
(""entity""{tuple_delimiter}GHANA, AFRICA{tuple_delimiter}LOCATION{tuple_delimiter} Origin of Defendant and Codefendant)
{record_delimiter}
(""entity""{tuple_delimiter}QUEBEC, MONTREAL, CANADA{tuple_delimiter}LOCATION{tuple_delimiter} Living place of of Defendant and Codefendant)
{record_delimiter}
(""relationship""{tuple_delimiter}HENDERSON{tuple_delimiter}AGENT{tuple_delimiter}A Border Patrol Agent {tuple_delimiter}9)
{record_delimiter}
(""relationship""{tuple_delimiter}DEFENDANT{tuple_delimiter}GHANA, AFRICA{tuple_delimiter}The Defendant is from Ghana, Africa {tuple_delimiter}9)
{record_delimiter}
(""relationship""{tuple_delimiter}CODEFENDANT{tuple_delimiter}GHANA, AFRICA{tuple_delimiter}The Codefendant is from Ghana, Africa {tuple_delimiter}9)
{record_delimiter}
(""relationship""{tuple_delimiter}DEFENDANT{tuple_delimiter}QUEBEC, MONTREAL, CANADA{tuple_delimiter}The Defendant lives in Quebec, Montreal, Canada{tuple_delimiter}9)
{record_delimiter}
(""relationship""{tuple_delimiter}CODEFENDANT{tuple_delimiter}QUEBEC, MONTREAL, CANADA{tuple_delimiter}The Codefendant lives in Quebec, Montreal, Canada{tuple_delimiter}9)
{record_delimiter}
{completion_delimiter}","HENDERSON,DEFENDANT,CODEFENDANT"
24,"PERSON, ROUTES",Agent Henderson testified that the aliens were loaded at Diesel Impact 2000 off of Highway 359.,"(""entity""{tuple_delimiter}HENDERSON{tuple_delimiter}PERSON{tuple_delimiter}A Border Patrol Agent)
{record_delimiter}
(""entity""{tuple_delimiter}AGENT{tuple_delimiter}PERSON{tuple_delimiter}An Agent patrolling the Borders of the United States}
(""entity""{tuple_delimiter}HIGHWAY 359{tuple_delimiter}PERSON{tuple_delimiter} A ghighway route near which aliens were loaded)
{record_delimiter}
(""relationship""{tuple_delimiter}HENDERSON{tuple_delimiter}AGENT{tuple_delimiter}A Border Patrol Agent {tuple_delimiter}9)
{record_delimiter}
(""relationship""{tuple_delimiter}HENDERSON{tuple_delimiter}HIGHWAY 359{tuple_delimiter} Agent  Henderson testified    that the aliens were loaded at Diesel Impact 2000 off of Highway  359 {tuple_delimiter}9)
{record_delimiter}
{completion_delimiter}",HENDERSON
25,"PERSON, LOCATION","The criminal complaint set forth that the car Santos was driving was inspected as he approached a border patrol checkpoint in Laredo , Texas , and that Fonseca was found in the rear seat.","(""entity""{tuple_delimiter}SANTOS{tuple_delimiter}PERSON{tuple_delimiter}A smuggler responsible for transporting migrants)
{record_delimiter}
(""entity""{tuple_delimiter}FONSECA{tuple_delimiter}PERSON{tuple_delimiter}A person without proper documentation of immigration)
{record_delimiter}
(""entity""{tuple_delimiter}LAREDO, TEXAS{tuple_delimiter}LOCATION{tuple_delimiter}Place where Santos had driven to a Border Patrol Checkpoint)
{record_delimiter}
(""relationship""{tuple_delimiter}SANTOS{tuple_delimiter}FONSECA{tuple_delimiter}Santos was driving a car in which Fonseca was found in the rear seat of}8)
{record_delimiter}
(""relationship""{tuple_delimiter}SANTOS{tuple_delimiter}LAREDO, TEXAS{tuple_delimiter}The car Santos was driving was  inspected as he approached a border patrol checkpoint in Laredo , Texas}8)
{record_delimiter}
{completion_delimiter}","SANTOS,FONSECA"
26,"PERSON, DATE","Yusif Ahmed Rufied (""Defendant"") was charged by criminal complaint on May 26, 2006.","(""entity""{tuple_delimiter}YUSIF AHMED RUFIED{tuple_delimiter}PERSON{tuple_delimiter}A smuggler responsible for transporting migrants)
{record_delimiter}
(""entity""{tuple_delimiter}DEFENDANT{tuple_delimiter}PERSON{tuple_delimiter}Defendant of the case)
{record_delimiter}
(""entity""{tuple_delimiter}MAY 26, 2006{tuple_delimiter}PERSON{tuple_delimiter}The date on which Yusif was carged by criminal complaint)
{record_delimiter}
(""relationship""{tuple_delimiter}YUSIF AHMED RUFIED{tuple_delimiter}DEFENDANT{tuple_delimiter}Yusif Ahmed Rufied was the defendant of this case{tuple_delimiter}8)
{record_delimiter}
(""relationship""{tuple_delimiter}YUSIF AHMED RUFIED{tuple_delimiter}MAY 26, 2006{tuple_delimiter}Yusif Ahmed Rufied was charged by criminal complaint on May 26, 2006{tuple_delimiter}8)
{record_delimiter}
{completion_delimiter}","YUSIF AHMED RUFIED,DEFENDANT,MAY 26,2006"
27,"PERSON, DATE, ROUTES","Agent Henderson testified that on May 24, 2006, he was working with ICE Agent Joe Silva when they were called to the Border Patrol check point located on Highway 59.","(""""entity""""{tuple_delimiter}HENDERSON{tuple_delimiter}PERSON{tuple_delimiter}A Border Patrol Agent)
{record_delimiter}
(""""entity""""{tuple_delimiter}JOE SILVA{tuple_delimiter}PERSON{tuple_delimiter}An ICE Agent)
{record_delimiter}
(""""entity""""{tuple_delimiter}AGENT{tuple_delimiter}PERSON{tuple_delimiter}An Agent patrolling the Borders of the United States}
(""entity""{tuple_delimiter}MAY 24, 2006{tuple_delimiter}DATE{tuple_delimiter} Day on which Agent Henderson was called to the Border Patrol check point located on Highway 59)
{record_delimiter}
(""entity""{tuple_delimiter}HIGHWAY 59{tuple_delimiter}ROUTES{tuple_delimiter} A highway on which there is a Border Patrol check point where Agent Henderson and Agent Joe Silva were called to)
{record_delimiter}
(""""relationship""""{tuple_delimiter}HENDERSON{tuple_delimiter}AGENT{tuple_delimiter}A Border Patrol Agent {tuple_delimiter}9)
{record_delimiter}
(""""relationship""""{tuple_delimiter}HENDERSON{tuple_delimiter}HIGHWAY 59{tuple_delimiter} Agent  Henderson called to the Border Patrol check point on Highway  59 {tuple_delimiter}9)
{record_delimiter}
{completion_delimiter}","HENDERSON,JOE SILVA"
28,"PERSON, ROUTES",Agent Silva was conducting a roving patrol around the intersection of Interstate 35 and Route 133 when he heard the report on his service radio about the white pickup truck possibly loaded with illegal aliens.,"(""entity""{tuple_delimiter}SILVA{tuple_delimiter}PERSON{tuple_delimiter}A Border Patrol Agent)
{record_delimiter}
(""entity""{tuple_delimiter}AGENT{tuple_delimiter}PERSON{tuple_delimiter}An Agent patrolling the Borders of the United States}
{record_delimiter}
(""entity""{tuple_delimiter}ALIENS{tuple_delimiter}PERSON{tuple_delimiter}An illegal immigrant without proper documentation}
{record_delimiter}
(""entity""{tuple_delimiter}INTERSTATE 35{tuple_delimiter}ROUTES{tuple_delimiter} A highway, which has an intersection with Route 133)
{record_delimiter}
(""entity""{tuple_delimiter}ROUTE 133{tuple_delimiter}ROUTES{tuple_delimiter} A highway, which has an intersection with Interstate 35)
{record_delimiter}
(""entity""{tuple_delimiter}WHITE PICKUP TRUCK{tuple_delimiter}MEANS_OF_TRANSPORTATION{tuple_delimiter} A vehicle which was possibly loaded with illegal aliens)
{record_delimiter}
(""relationship""{tuple_delimiter}SILVA{tuple_delimiter}AGENT{tuple_delimiter}A Border Patrol Agent {tuple_delimiter}9)
{record_delimiter}
(""relationship""{tuple_delimiter}SILVA{tuple_delimiter}INTERSTATE 35{tuple_delimiter} Agent Silva was conducting a roving patrol around the intersection of Interstate 35 and Route 133 {tuple_delimiter}9)
{record_delimiter}
(""relationship""{tuple_delimiter}SILVA{tuple_delimiter}ROUTE 133{tuple_delimiter} Agent Silva was conducting a roving patrol around the intersection of Interstate 35 and Route 133 {tuple_delimiter}9)
{record_delimiter}
(""relationship""{tuple_delimiter}SILVA{tuple_delimiter}WHITE PICKUP TRUCK{tuple_delimiter}Agent Silva heard the report on his service radio about the white pickup truck possibly loaded with illegal aliens{tuple_delimiter}9)
{record_delimiter}
(""relationship""{tuple_delimiter}SILVA{tuple_delimiter}ALIENS{tuple_delimiter}Agent Silva heard the report on his service radio about the white pickup truck possibly loaded with illegal aliens{tuple_delimiter}9)
{record_delimiter}
{completion_delimiter}",SILVA
